"","State","State.Name","Year","Number of Deaths","Number of Drug Overdose Deaths","race","perc_in_pov","region"
"87","IL","Illinois",2016,104091,2427,"hispanic",16.71,"North Central"
"88","IL","Illinois",2016,104091,2427,"native",13.28,"North Central"
"89","IL","Illinois",2016,104091,2427,"multiple_races",18.52,"North Central"
"90","IL","Illinois",2016,104091,2427,"total",13.01,"North Central"
"91","IN","Indiana",2016,64051,1506,"white",11.09,"North Central"
"92","IN","Indiana",2016,64051,1506,"black",27.91,"North Central"
"93","IN","Indiana",2016,64051,1506,"hispanic",24.17,"North Central"
"94","IN","Indiana",2016,64051,1506,"native",20,"North Central"
"95","IN","Indiana",2016,64051,1506,"multiple_races",22.58,"North Central"
"96","IN","Indiana",2016,64051,1506,"total",14,"North Central"
"97","KS","Kansas",2016,25489,313,"white",9.95,"North Central"
"98","KS","Kansas",2016,25489,313,"black",27.51,"North Central"
"99","KS","Kansas",2016,25489,313,"hispanic",18.21,"North Central"
"100","KS","Kansas",2016,25489,313,"native",14.77,"North Central"
"101","KS","Kansas",2016,25489,313,"multiple_races",14.36,"North Central"
"102","KS","Kansas",2016,25489,313,"total",12.1,"North Central"
"103","KY","Kentucky",2016,47606,1437,"white",16.8,"South"
"104","KY","Kentucky",2016,47606,1437,"black",31.25,"South"
"105","KY","Kentucky",2016,47606,1437,"hispanic",32.64,"South"
"106","KY","Kentucky",2016,47606,1437,"native",NA,"South"
"107","KY","Kentucky",2016,47606,1437,"multiple_races",25.55,"South"
"108","KY","Kentucky",2016,47606,1437,"total",18.64,"South"
"109","LA","Louisiana",2016,44411,1004,"white",12.56,"South"
"110","LA","Louisiana",2016,44411,1004,"black",33.95,"South"
"111","LA","Louisiana",2016,44411,1004,"hispanic",24.2,"South"
"112","LA","Louisiana",2016,44411,1004,"native",30.29,"South"
"113","LA","Louisiana",2016,44411,1004,"multiple_races",24.05,"South"
"114","LA","Louisiana",2016,44411,1004,"total",20.3,"South"
"115","MA","Massachusetts",2016,57861,2198,"white",6.71,"Northeast"
"116","MA","Massachusetts",2016,57861,2198,"black",18.89,"Northeast"
"117","MA","Massachusetts",2016,57861,2198,"hispanic",26.38,"Northeast"
"118","MA","Massachusetts",2016,57861,2198,"native",20.93,"Northeast"
"119","MA","Massachusetts",2016,57861,2198,"multiple_races",15.07,"Northeast"
"120","MA","Massachusetts",2016,57861,2198,"total",10.5,"Northeast"
"121","MD","Maryland",2016,48668,2074,"white",6.85,"South"
"122","MD","Maryland",2016,48668,2074,"black",12.77,"South"
"123","MD","Maryland",2016,48668,2074,"hispanic",12.67,"South"
"124","MD","Maryland",2016,48668,2074,"native",NA,"South"
"125","MD","Maryland",2016,48668,2074,"multiple_races",11.98,"South"
"126","MD","Maryland",2016,48668,2074,"total",9.37,"South"
"127","ME","Maine",2016,14069,357,"white",11.98,"Northeast"
"128","ME","Maine",2016,14069,357,"black",49,"Northeast"
"129","ME","Maine",2016,14069,357,"hispanic",13.4,"Northeast"
"130","ME","Maine",2016,14069,357,"native",NA,"Northeast"
"131","ME","Maine",2016,14069,357,"multiple_races",27.23,"Northeast"
"132","ME","Maine",2016,14069,357,"total",12.99,"Northeast"
"133","MI","Michigan",2016,94840,2342,"white",11.38,"North Central"
"134","MI","Michigan",2016,94840,2342,"black",29.09,"North Central"
"135","MI","Michigan",2016,94840,2342,"hispanic",22.59,"North Central"
"136","MI","Michigan",2016,94840,2342,"native",19.16,"North Central"
"137","MI","Michigan",2016,94840,2342,"multiple_races",22.2,"North Central"
"138","MI","Michigan",2016,94840,2342,"total",14.89,"North Central"
"139","MN","Minnesota",2016,43134,664,"white",7.14,"North Central"
"140","MN","Minnesota",2016,43134,664,"black",28.66,"North Central"
"141","MN","Minnesota",2016,43134,664,"hispanic",19.19,"North Central"
"142","MN","Minnesota",2016,43134,664,"native",28.41,"North Central"
"143","MN","Minnesota",2016,43134,664,"multiple_races",18.7,"North Central"
"144","MN","Minnesota",2016,43134,664,"total",9.84,"North Central"
"145","MO","Missouri",2016,61888,1386,"white",11.78,"North Central"
"146","MO","Missouri",2016,61888,1386,"black",22.98,"North Central"
"147","MO","Missouri",2016,61888,1386,"hispanic",23.7,"North Central"
"148","MO","Missouri",2016,61888,1386,"native",21.29,"North Central"
"149","MO","Missouri",2016,61888,1386,"multiple_races",24.06,"North Central"
"150","MO","Missouri",2016,61888,1386,"total",13.93,"North Central"
"151","MS","Mississippi",2016,31016,332,"white",12.9,"South"
"152","MS","Mississippi",2016,31016,332,"black",31.86,"South"
"153","MS","Mississippi",2016,31016,332,"hispanic",26.34,"South"
"154","MS","Mississippi",2016,31016,332,"native",45,"South"
"155","MS","Mississippi",2016,31016,332,"multiple_races",33.76,"South"
"156","MS","Mississippi",2016,31016,332,"total",20.75,"South"
"157","MT","Montana",2016,9941,114,"white",11.92,"West"
"158","MT","Montana",2016,9941,114,"black",NA,"West"
